NVDA
  2024-02: mean_close=182.413500, n=20
  2024-03: mean_close=170.406000, n=20
  2024-04: mean_close=167.314545, n=22
  2024-05: mean_close=184.312857, n=21
  2024-06: mean_close=204.173889, n=18
  2024-07: mean_close=222.558636, n=22
  2024-08: mean_close=220.365714, n=21
  2024-09: mean_close=221.968000, n=20
  2024-10: mean_close=228.266087, n=23
  2024-11: mean_close=226.383000, n=20
  2024-12: mean_close=248.032857, n=21
  2025-01: mean_close=233.297000, n=20
  2025-02: mean_close=237.407895, n=19
  2025-03: mean_close=221.424000, n=20
  2025-04: mean_close=202.608235, n=17
  2025-05: mean_close=202.734000, n=20
  2025-06: mean_close=199.877000, n=20
  2025-07: mean_close=210.500909, n=22
  2025-08: mean_close=224.632000, n=20
  2025-09: mean_close=241.966190, n=21
  2025-10: mean_close=257.775217, n=23
  2025-11: mean_close=271.327895, n=19
  2025-12: mean_close=276.046364, n=22
  2026-01: mean_close=257.389500, n=20
  2026-02: mean_close=269.520000, n=18
  2026-03: mean_close=254.906364, n=22
  2026-04: mean_close=260.155833, n=12

XLE
  2023-04: mean_close=38.041914, n=7
  2023-05: mean_close=35.232390, n=21
  2023-06: mean_close=35.708871, n=21
  2023-07: mean_close=37.637850, n=20
  2023-08: mean_close=39.906709, n=23
  2023-09: mean_close=41.774300, n=20
  2023-10: mean_close=40.321000, n=22
  2023-11: mean_close=38.578381, n=21
  2023-12: mean_close=38.381200, n=20
  2024-01: mean_close=38.053667, n=21
  2024-02: mean_close=39.093250, n=20
  2024-03: mean_close=42.091150, n=20
  2024-04: mean_close=45.104227, n=22
  2024-05: mean_close=43.551500, n=22
  2024-06: mean_close=42.187000, n=19
  2024-07: mean_close=43.108900, n=22
  2024-08: mean_close=42.197082, n=22
  2024-09: mean_close=41.102540, n=20
  2024-10: mean_close=43.113461, n=23
  2024-11: mean_close=44.892700, n=20
  2024-12: mean_close=41.913743, n=21
  2025-01: mean_close=43.223350, n=20
  2025-02: mean_close=43.244837, n=19
  2025-03: mean_close=43.341014, n=21
  2025-04: mean_close=39.515947, n=17
  2025-05: mean_close=39.864252, n=21
  2025-06: mean_close=41.314030, n=20
  2025-07: mean_close=42.450582, n=22
  2025-08: mean_close=42.028352, n=21
  2025-09: mean_close=43.594581, n=21
  2025-10: mean_close=43.057017, n=23
  2025-11: mean_close=44.038379, n=19
